,Undifferentiated,Neutrophil,Monocyte,Baso,Erythroid,Mast,Meg,Eos,Ccr7_DC,Lymphoid,pDC
11194,5.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11195,5.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11196,5.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11197,5.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11198,5.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11199,5.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11213,5.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11214,5.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11233,10.0,11.0,10.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
11234,10.0,11.0,10.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
11235,10.0,11.0,10.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
11236,10.0,11.0,10.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
11237,10.0,11.0,10.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
11238,10.0,11.0,10.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
11239,10.0,11.0,10.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
11240,10.0,11.0,10.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
11241,10.0,11.0,10.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
11242,10.0,11.0,10.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
11243,10.0,11.0,10.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
11244,10.0,11.0,10.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
11245,10.0,11.0,10.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0
